finding_id,status,evidence,change_made,file_touched,test_or_check,remaining_limitation
A4-11,confirmed,"git ls-files shows cases/ is tracked. The ordering is blocked for a different reason: this case's run record declares no inputs, and all A4 files entered git in one commit.",The stale 'cases/ is untracked' premise is marked superseded in place in both prose files and replaced with the two reasons that still hold; the contrast with A2 and A3's protocol hashes is stated without strengthening it.,cases/A4_misleading_fit_counterexample/decision_memo.md; cases/A4_misleading_fit_counterexample/report.md,python3 scripts/check.py,cases/A4_misleading_fit_counterexample/protocol.md carries the same stale premise and is owned by another stream. results/run_record.json carries it too and is deliberately not edited.
A4-12,confirmed,"docs/evidence/matbal.md:584 tabulates Pletcher's modified p/Z at +8.2, +6.5 and +4.0 percent with increasing recovery (decreasing); summary.json progressive_fits for J=2.0 rises +5.54 to +12.50 percent.","The memo's third action is now sign-agnostic ('a material move in either direction'), and the report's prior-work section records that Pletcher's drift runs the other way because his aquifer does not deplete over the window.",cases/A4_misleading_fit_counterexample/decision_memo.md; cases/A4_misleading_fit_counterexample/report.md,python3 scripts/check.py,
A4-07-1,confirmed,"material_balance.py:825 documents fit_pz_depletion as fitting p/Z = intercept + slope*Gp, a free-intercept free-slope OLS line with G = -a/b derived. Verified numerically during this pass: a direct least-squares minimisation over (G, J) against the base-case history, with no influx observation supplied, returns G within 1.0e-11 relative and J = 2.0000 at a residual of 1.8e-9 psia of p/Z; profiling over J at fixed G gives best-fit misfits of 0.57, 1.16, 6.03 and 20.3 psia of p/Z at +0.5, +1, +5 and +12.5 percent in G.","The 'identifiable one-parameter fit' clause is replaced. The memo now states the correct parameter count, separates practical noise-limited ambiguity from structural non-identifiability, and reports the measured profile with its provenance. The report's Oracle-2 discussion carries the same correction.",cases/A4_misleading_fit_counterexample/decision_memo.md; cases/A4_misleading_fit_counterexample/report.md,PYTHONPATH=src:cases/A4_misleading_fit_counterexample direct call of the committed generator with golden-section search over J and over G,"The joint fit and the profile are post-audit checks, not pre-registered results. They are not in results/summary.json and carry no run ID."
A4-08-1,narrowed,"Derived from run.py:329-338 and :534: t = c_hat/(s*sqrt(I_cc)) and sd(c_hat) = sigma*sqrt(I_cc), so at sigma* = |c|/(t_crit*sqrt(I_cc)) the noncentrality |c|/sd(c_hat) equals t_crit. Verified numerically on the case's own base-case design: |c|/(sigma* sqrt(I_cc)) = 2.0128955989, equal to critical_t to eleven figures.","report.md now derives the quantity instead of restating the key name: sigma* is the noise level at which the noncentrality parameter equals the critical value. The previous 'expected t equals critical' reading is marked superseded in place, including in the run-history note that presented the rename as a fix.",cases/A4_misleading_fit_counterexample/report.md,PYTHONPATH=src:cases/A4_misleading_fit_counterexample recomputation using the case's own quadratic_fit and student_t_quantile,"The shipped summary.json and run_record.json keys are still named sigma_*_at_expected_t_equals_critical_*. They are not edited, because a shipped run record is not rewritten after the fact; run.py is owned by another stream and would need the rename plus a new run ID."
A4-08-2,confirmed,"Measured during this pass on the case's own base-case design: the noise-free quadratic fit leaves SSE = 1847.69 psia^2 on 46 degrees of freedom, s0 = 6.3377 psia, max residual 16.04 psia. That floor deflates the effective noncentrality at sigma* from 2.0129 to 1.8383, 0.913 t_crit. Noncentral-t power at 2.0129 is 0.504 (above one half, wrong sign for the stated mechanism); at 1.8383 it is 0.436, against the 0.432 E9 measured at 12.5 psi.","The 'ratio whose denominator is itself random' explanation is replaced with the quadratic lack-of-fit floor, with the numbers above and with the note that the random denominator accounts for a +0.4 point effect of the opposite sign.",cases/A4_misleading_fit_counterexample/report.md,"recomputation with the case's own quadratic_fit; noncentral-t power evaluated outside the repository, which carries no such dependency","s0 is not in summary.json, so a reader cannot redo the power arithmetic from the shipped artefact alone. Adding it needs a new run."
A4-08-3,confirmed,"Verified during this pass: random.Random(seed).gauss(0,1) scaled by sigma is bit-identical to gauss(0,sigma) from the same seed, and re-running E9's detector from the committed seed reproduces 0.51625 at 11.0 psi and 0.48075 at 11.5 psi with the reject/accept indicator agreeing on 96.5 percent of 4000 replicates.","The E9 section now carries the same disclosure already applied to E6: the ten levels are rescalings of one 4000-draw set, not ten independent experiments. The asymmetry between the two disclosures is stated.",cases/A4_misleading_fit_counterexample/report.md; cases/A4_misleading_fit_counterexample/decision_memo.md,PYTHONPATH=src:cases/A4_misleading_fit_counterexample re-run of the case's own detector at the committed POWER_CURVE_SEED,The half-power crossing still rests on one draw set. Re-running with a distinct seed per level needs a new run ID.
A4-08-4,confirmed,"The crossing is conditional on n = 49, quarterly cadence, a twelve-year horizon, J = 2.0 and the design-dependent lack-of-fit floor s0 = 6.34 psia.",The bolded answer is prefixed with the design and followed by a sentence saying the qualifier is load-bearing. 'driven entirely by' in the memo is replaced with a formulation that names the sampling design and the aquifer strength alongside the pressure error.,cases/A4_misleading_fit_counterexample/report.md; cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,"No sensitivity of the crossing to cadence, horizon or aquifer strength has been measured; only its conditionality is stated."
A4-08-5,confirmed,"summary.json rates 0.51625 and 0.48075 give a slope of 0.0710 per psi; the binomial standard error at 4000 replicates is 0.0079. The two levels share one draw set, with 96.5 percent indicator agreement measured during this pass, so their errors are common-mode.","The quadrature combination is marked superseded and replaced with the common-mode figure, 0.0079/0.071 = 0.11 psi. The empirical crossing (a linear interpolation between two measured rates, with no replicate run at 11.2 psi) is separated from the uncertainty in that crossing, and the uncertainty is stated as Monte-Carlo only.",cases/A4_misleading_fit_counterexample/report.md,re-run of the case's own detector at the committed seed,The stated plus or minus 0.2 psi is retained as conservative; no reported number moves.
A4-08-6,deferred,"run.py:528 and :535 convert sigma_p/Z to sigma_p through a single unweighted mean Z, while Z runs 0.8656 to 0.9208 over the base-case history, a 6.4 percent spread. The audit measured the effect on the detector's size as immaterial.","None. The natural home for this sentence is the noise-model paragraph of protocol.md, which this stream does not own.",none,,protocol.md still does not mention the heteroscedasticity of the p/Z error or the mean-Z approximation. Numerically immaterial at this Z spread.
A4-09-1,narrowed,"run.py:625 forms the predicted pressure as pred * z_factors[i], where z_factors comes from observed(history) at run.py:257 and is history.true_z_factors[i], the noise-free deviation factor at the true future pressure. Read directly at run.py:615-646.","The holdout is relabelled a conditional synthetic pressure reconstruction in the report heading, in the results table and in the memo's evidence table, with the dependence on future truth stated explicitly. The calculation itself is untouched.",cases/A4_misleading_fit_counterexample/report.md; cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,The self-consistent alternative (re-solving p/Z(p) = predicted for p) has not been computed or added to summary.json; doing so needs a new run ID. The audit's figure for it is not repeated here because it was not reproduced in this pass.
A4-10-1,confirmed,"Same evidence as A4-11: cases/ is tracked, and the ordering is blocked because the run record declares no inputs and all A4 files entered git in one commit.","Both prose instances in the files this stream owns are marked superseded in place and given the correct reason, with a note that the shipped run_record.json still carries the stale string and is deliberately unedited.",cases/A4_misleading_fit_counterexample/report.md; cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,protocol.md carries the third prose instance and is owned by another stream.
A4-10-2,confirmed,"run.py:951-957 defines smallest_quoted_signal as the minimum over sweep rows with a large G error, giving 24.634 psia; the report's own residual table quotes +0.24 psia at 1.50 years. 24.634/3.4283e-9 is 9.86 orders; 0.24/3.4283e-9 is 7.85 orders.","The paragraph now states the definition the code applies (smallest per-exhibit largest residual), marks the 'smallest misfit quoted anywhere' sentence superseded, and gives the 7.9-order margin against the smallest tabulated residual.",cases/A4_misleading_fit_counterexample/report.md; cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,No acceptance outcome changes; A3's pre-registered six-order requirement is cleared either way.
A4-10-3,confirmed,summary.json known_influx_oracle.worst_relative_error = 3.599776e-11.,3.6e-11 is used consistently in both files; the 4e-11 roundings are removed.,cases/A4_misleading_fit_counterexample/report.md; cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,
A4-11-1,confirmed,"No script, output, digest, command or log for a separately implemented tank exists anywhere in this repository. The artifacts/.../referee-run/ directory is a re-execution of this case's own run.py, not an independent implementation.","The passage is marked superseded. The comparison is relabelled a reported comparison that is not reproducible from this repository, its quoted digits are withdrawn, and the referee-run directory is named for what it is.",cases/A4_misleading_fit_counterexample/report.md,python3 scripts/check.py,The formulation gap the tank was meant to close is still open: this case's own evidence stops at the solve.
A4-11-2,confirmed,"AGENTS.md:46 states that different role names do not create independent expertise or independent evidence. Nothing in the repository records who the reviewer was, when the pass ran or what it executed.","'Independent' and 'external' are withdrawn from every description of a review pass in both files, replaced with a statement that each pass was conducted under a different role by the same author and that no human peer review took place. The report's closing section is retitled 'What the review pass changed'.",cases/A4_misleading_fit_counterexample/report.md; cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,"The review passes still carry no recorded date or recorded artefact list, so a reader cannot place them in time."
A4-07-2,confirmed,"run.py:268-285 shows Oracle 2 consuming truth.gas_fvf_rcf_per_scf at the true pressure and the true deviation factor, plus the exact Bw and Wp. Verified in this pass that a two-parameter (G, J) fit recovers G with no influx supplied at all.","'the missing information is the influx term and nothing else' is replaced everywhere with a statement of the exactness conditions, plus the note that a correctly structured (G, J) fit reaches G without any influx observation, so the field obstacle is measurement error rather than identifiability.",cases/A4_misleading_fit_counterexample/report.md; cases/A4_misleading_fit_counterexample/decision_memo.md,"direct (G, J) minimisation on the committed generator",4e-11-class accuracy remains unattainable in the field either way; nothing here quantifies how well an influx can be estimated in practice.
PVT-01,deferred,"No artefact produces 0.13-0.23 percent. Recomputed from the shipped library during this pass: 0.4463 percent mean and 1.1487 percent maximum in Z, 1.53 percent mean in Ppc.","None in CHANGELOG.md, which this stream does not own. The corrected figures, domain and mean-versus-maximum distinction are written into the two files this stream does own.",docs/evidence/zfactor.md; src/reservoir_lab/gas_properties.py,PYTHONPATH=src recomputation of the Standing variant grid from reservoir_lab.gas_properties,CHANGELOG.md still carries the 0.13-0.23 percent range. Owner: the stream that rewrites CHANGELOG.md.
PVT-02,deferred,"0.45 percent is the mean over the sampled grid, not a bound; the maximum on the same grid is 1.1487 percent and sits on the grid corner. Reproduced during this pass.","None in README.md, which this stream does not own. The mean/maximum/domain formulation is written into zfactor.md and into the library comment.",docs/evidence/zfactor.md; src/reservoir_lab/gas_properties.py,PYTHONPATH=src recomputation of the Standing variant grid,README.md still states the mean as a bound and gives no domain. Owner: the stream that rewrites README.md.
PVT-03,confirmed,"zfactor.md:249, :388 and :461 instructed that 667 is right and 677 'is wrong', while the file's own correction at :484-488 records the conflict as unresolved and the Ahmed corroboration as false.","All three body statements are marked [SUPERSEDED] in place, struck through rather than deleted, each with a pointer to the correction. The 'Independent check values' methane-anchor row and the Standing row of the sources table get the same treatment. The header is changed from 'Corrections applied' to 'Corrections recorded' with a note on reading order.",docs/evidence/zfactor.md,python3 scripts/check.py,"The 667/677 conflict itself is unresolved and stays that way: the original Standing (1977) has not been retrieved. The library default remains 677 and is marked as a choice, not a resolution."
PVT-04,confirmed,"The comment claimed the difference 'propagates to well under 1 percent in Z over the range this project uses'. Measured maximum on the project's own grid is 1.1487 percent, reproduced during this pass.","The comment now states the mean, the maximum and the full domain, records that the maximum sits on the grid corner and is a lower bound on the maximum over a wider range, and withdraws both the 'well under 1 percent' claim and the 'not a difference that changes a decision' claim. Comment text only; no code changed.",src/reservoir_lab/gas_properties.py,python3 scripts/check.py; python3 -c 'import ast' parse check; PYTHONPATH=src recomputation,The default variant choice is still a judgement call rather than a resolved question.
PVT-05,deferred,Confirmed by the audit; the location is outside this stream's file list.,None.,none,,Open in tests/oracles/nist.py. Owner: the stream that owns that file.
PVT-06,deferred,Confirmed by the audit; the location is outside this stream's file list.,None.,none,,Open in tests/test_gas_properties.py. Owner: the stream that owns that file.
PVT-09,deferred,Confirmed by the audit; the location is outside this stream's file list.,None.,none,,Open in data/reference/MANIFEST.json. Owner: the stream that owns that file.
PVT-10,deferred,Confirmed by the audit; the location is outside this stream's file list.,None.,none,,Open in tests/oracles/nist.py. Owner: the stream that owns that file.
PVT-14,deferred,Confirmed by the audit; the location is outside this stream's file list.,None.,none,,Open in data/reference/MANIFEST.json. Owner: the stream that owns that file.
PVT-07,deferred,"The one numerical defect in the audit: the de-duplication rule in the fetch script keeps the first of three identical (T, P) rows, so 15 supercritical states retain a 'vapor' label. The numeric columns are unaffected.","None. scripts/fetch_nist_reference.py is outside this stream's file list, and the reference extracts are deliberately absent from this repository.",none,,Open in scripts/fetch_nist_reference.py. Nothing in the files this stream owns quotes the affected phase label.
PVT-08,deferred,Cross-check struck a sub-claim and narrowed the rest. Location is data/reference/MANIFEST.json.,None.,none,,Open in data/reference/MANIFEST.json. Owner: the stream that owns the data policy files.
PVT-11,narrowed,"Cross-check struck a sub-claim; the surviving part is that both sides of the 667/677 conflict rest on secondary retrievals with no re-checkable handle, and that Ahmed had no row in this card's sources table despite supplying the shipped default.","An Ahmed row is added to the zfactor sources table, with its access level and the fact that no URL, digest or retrieval date was recorded. The Whitson & Brulé TLS caveat is now referenced alongside it, and the Standing primary row's false 'corroborated by Ahmed' clause is marked superseded.",docs/evidence/zfactor.md,python3 scripts/check.py,"docs/references.md still has no Ahmed entry and is outside this stream's file list. Neither side of the conflict has a re-checkable retrieval record, and the primary source is still unread."
PVT-12,deferred,Cross-check struck a sub-claim. Location is scripts/fetch_nist_reference.py and data/reference.,None.,none,,Open in scripts/fetch_nist_reference.py. Owner: another stream.
PVT-13,confirmed,"grep of scripts/check.py finds no NIST comparison and no such percentages; the file is a 98-line unittest runner. The figures belong to case A2, whose outputs are not distributed with this repository.","All three instances in the files this stream owns are marked superseded in place, reattributed to case A2, and flagged as not reproducible from this checkout because the NIST reference extract is not redistributed here. 'over its sampled corners' is corrected to 'over all states of the extract'.",cases/A3_uncertainty_experiments/report.md; cases/A4_misleading_fit_counterexample/report.md; cases/A1_volumetric_baseline/report.md,python3 scripts/check.py; grep -n 'NIST' scripts/check.py,"The percentages themselves cannot be verified from this repository, and are therefore presented as background that no result depends on."
UB-1,deferred,Audit disposition: cross-confirmed; a sub-claim struck; severity disputed. Location is outside this stream's file list.,None.,none,,Open in src/reservoir_lab/gas.py and docs/api_contract.md. Not a claims-interpretation finding; owner is the stream that owns that file.
UB-2,deferred,Audit disposition: cross-confirmed; a sub-claim struck; severity disputed. Location is outside this stream's file list.,None.,none,,Open in docs/merge_decision.md and README.md. Not a claims-interpretation finding; owner is the stream that owns that file.
UB-3,deferred,Audit disposition: cross-confirmed; partial overreach. Location is outside this stream's file list.,None.,none,,Open in docs/api_contract.md. Not a claims-interpretation finding; owner is the stream that owns that file.
UB-4,deferred,Audit disposition: cross-confirmed; partial overreach. Location is outside this stream's file list.,None.,none,,Open in docs/api_contract.md and src/reservoir_lab/units.py. Not a claims-interpretation finding; owner is the stream that owns that file.
UB-5,deferred,Audit disposition: cross-confirmed; a sub-claim struck. Location is outside this stream's file list.,None.,none,,Open in examples/synthetic_demo/report.md. Not a claims-interpretation finding; owner is the stream that owns that file.
UB-6,deferred,Audit disposition: cross-confirmed; a sub-claim struck; severity disputed. Location is outside this stream's file list.,None.,none,,Open in tests/test_gas.py. Not a claims-interpretation finding; owner is the stream that owns that file.
UB-7,deferred,Audit disposition: not separately cross-checked. Location is outside this stream's file list.,None.,none,,Open in src/reservoir_lab/diagnostics.py. Not a claims-interpretation finding; owner is the stream that owns that file.
UB-8,deferred,Audit disposition: not separately cross-checked. Location is outside this stream's file list.,None.,none,,Open in tests/test_aquifer.py. Not a claims-interpretation finding; owner is the stream that owns that file.
CI-01,deferred,Audit disposition: cross-confirmed; a sub-claim struck. Location is outside this stream's file list.,None.,none,,Open in docs/merge_decision.md. Not a claims-interpretation finding; owner is the stream that owns that file.
CI-02,deferred,Audit disposition: cross-confirmed; a sub-claim struck; severity disputed. Location is outside this stream's file list.,None.,none,,Open in .github/workflows/ci.yml. Not a claims-interpretation finding; owner is the stream that owns that file.
CI-03,deferred,Audit disposition: cross-confirmed; a sub-claim struck. Location is outside this stream's file list.,None.,none,,Open in .github/workflows/ci.yml. Not a claims-interpretation finding; owner is the stream that owns that file.
CI-04,deferred,Audit disposition: cross-confirmed; a sub-claim struck. Location is outside this stream's file list.,None.,none,,Open in scripts/check_repository.py. Not a claims-interpretation finding; owner is the stream that owns that file.
CI-05,deferred,Audit disposition: cross-confirmed; severity disputed. Location is outside this stream's file list.,None.,none,,Open in .pre-commit-config.yaml and docs/workflow_setup.md. Not a claims-interpretation finding; owner is the stream that owns that file.
CI-06,deferred,Audit disposition: cross-confirmed. Location is outside this stream's file list.,None.,none,,Open in pyproject.toml and README.md. Not a claims-interpretation finding; owner is the stream that owns that file.
CI-07,deferred,Audit disposition: cross-confirmed. Location is outside this stream's file list.,None.,none,,Open in .github/workflows/ci.yml. Not a claims-interpretation finding; owner is the stream that owns that file.
CI-08,narrowed,"Audit disposition: informational, and the audit's own recommendation is that no change is needed, because docs/baseline_execution.md is an append-only dated execution record whose figures were correct when written. The same '97 files' figure also appeared in cases/A1_volumetric_baseline/report.md, which this stream does own.","The A1 instance is rewritten to say the gate reported 97 files and 0 errors when the paragraph was written and that the file count has since moved, with the zero identified as the load-bearing part. docs/baseline_execution.md is left alone.",cases/A1_volumetric_baseline/report.md,python3 scripts/check_repository.py,docs/baseline_execution.md still records 97 files; that is correct as a dated historical record and is deliberately not edited.
CI-09,deferred,Audit disposition: not separately cross-checked. Location is outside this stream's file list.,None.,none,,Open in docs/baseline_execution.md. Not a claims-interpretation finding; owner is the stream that owns that file.
PUB-01,deferred,Audit disposition: cross-confirmed; severity disputed; the publication blocker. Location is outside this stream's file list.,None.,none,,"Open in data/reference/README.md, MANIFEST.json and LICENSE. Not a claims-interpretation finding; owner is the stream that owns that file."
PUB-02,deferred,Audit disposition: cross-confirmed; severity disputed. Location is outside this stream's file list.,None.,none,,Open in LICENSE. Not a claims-interpretation finding; owner is the stream that owns that file.
PUB-03,deferred,Audit disposition: cross-confirmed. Location is outside this stream's file list.,None.,none,,Open in pyproject.toml. Not a claims-interpretation finding; owner is the stream that owns that file.
PUB-04,deferred,Audit disposition: cross-confirmed. Location is outside this stream's file list.,None.,none,,Open in pyproject.toml. Not a claims-interpretation finding; owner is the stream that owns that file.
R1,deferred,Audit disposition: cross-confirmed; severity disputed. Location is outside this stream's file list.,None.,none,,Open in pyproject.toml and scripts/check.py. Not a claims-interpretation finding; owner is the stream that owns that file.
R2,deferred,Audit disposition: cross-confirmed; a sub-claim struck; severity disputed. Location is outside this stream's file list.,None.,none,,Open in tests/test_gas_properties.py and tests/oracles/nist.py. Not a claims-interpretation finding; owner is the stream that owns that file.
R3,deferred,Audit disposition: cross-confirmed; severity disputed. Location is outside this stream's file list.,None.,none,,Open in tests/test_foundation.py and tests/test_gas_properties.py. Not a claims-interpretation finding; owner is the stream that owns that file.
R4,deferred,Audit disposition: cross-confirmed. Location is outside this stream's file list.,None.,none,,Open in tests/oracles/nist.py. Not a claims-interpretation finding; owner is the stream that owns that file.
R5,deferred,Audit disposition: cross-confirmed; severity disputed. Location is outside this stream's file list.,None.,none,,Open in src/reservoir_lab/provenance.py. Not a claims-interpretation finding; owner is the stream that owns that file.
R6,deferred,Audit disposition: cross-confirmed; partial overreach. Location is outside this stream's file list.,None.,none,,Open in docs/api_contract.md. Not a claims-interpretation finding; owner is the stream that owns that file.
R7,deferred,Audit disposition: cross-confirmed; partial overreach. Location is outside this stream's file list.,None.,none,,Open in tests/test_regression.py and tests/test_gas_properties.py. Not a claims-interpretation finding; owner is the stream that owns that file.
R8,deferred,Audit disposition: PLAUSIBLE only; a sub-claim struck; severity disputed. Location is outside this stream's file list.,None.,none,,Open in pyproject.toml. Not a claims-interpretation finding; owner is the stream that owns that file.
R9,deferred,Audit disposition: cross-confirmed; a sub-claim struck. Location is outside this stream's file list.,None.,none,,Open in README.md and docs/baseline_execution.md. Not a claims-interpretation finding; owner is the stream that owns that file.
R10,deferred,Audit disposition: cross-confirmed; a sub-claim struck. Location is outside this stream's file list.,None.,none,,Open in tests/test_foundation.py and docs/api_contract.md. Not a claims-interpretation finding; owner is the stream that owns that file.
R11,deferred,Audit disposition: cross-confirmed. Location is outside this stream's file list.,None.,none,,Open in tests/test_foundation.py. Not a claims-interpretation finding; owner is the stream that owns that file.
